Site,Site name,Date visited,Latitude,Longitude,Wetland type,temporary,catchment,area,perimeter,pH,Conductivity,Lm  Bass,Tilapia M,Fish,Terapin,Crab,Frog,Xl,Af,Sg,Td,Ca,Sw,Av,Sp,Sc,Sb,Hh
Site_01,Zilvermynbosch bottom ditch,170803,-34.2511,19.2413,Temp vlei,temp,G40L,6169,445,7.5,95,0,0,no-fish,no-terapin,no-crab,4,48,4,114,0,21,0,0,0,0,0,0
Site_02,Zilvermynbosch at sand quarry,170617,-34.4128,19.4032,Temp vlei,temp,G40L,6450,324,7.5,300,0,0,no-fish,no-terapin,no-crab,3,0,0,10,0,0,0,17,0,0,16,0
Site_03,Zilvermynbosch top dam,170612,-34.4143,19.4014,Large dam,perm,G40L,2785,668,7.3,210,0,0,no-fish,no-terapin,no-crab,7,13,43,0,2,3,4,3,0,0,0,1
Site_04,Anton Duvensteyn pond,170801,-34.4091,19.4097,Small dam,temp,G40L,296,65,8.4,1450,0,0,no-fish,no-terapin,no-crab,5,2,3,0,0,1,0,0,0,0,1,2
Site_05,Steenkamp ditch,170801,-34.4258,19.4237,Temp vlei,temp,G40L,684,151,7.5,400,0,0,no-fish,no-terapin,no-crab,3,0,0,5,0,64,0,18,0,0,0,0
Site_06,Arum Lily pond,170617,-34.4277,19.4602,Small dam,perm,G40L,60,30,7.4,94,0,0,no-fish,no-terapin,no-crab,4,7,8,0,0,93,0,28,0,0,0,0
Site_07,Jan Malan bottom dam,170801,-34.4294,19.4642,Large dam,perm,G40L,2296,204,7.3,1200,1,0,fish,no-terapin,no-crab,5,3,1,8,1,2,0,0,0,0,0,2
Site_08,Jan Malan restaurant dam,170801,-34.429,19.4658,Small dam,perm,G40L,1305,133,7.4,700,0,0,no-fish,no-terapin,no-crab,5,0,0,1,2,3,0,0,3,0,0,3
Site_09,Chris de Wit top dam,170905,-34.4257,19.4762,Large dam,perm,G40L,2767,197,7.3,700,0,0,no-fish,no-terapin,no-crab,4,29,5,14,0,0,0,0,0,850,0,0
Site_10,Chris de Wit Bottom dam,170905,-34.4258,19.477,Small dam,perm,G40L,1027,123,7.7,1000,0,0,no-fish,no-terapin,no-crab,4,34,16,0,3,0,0,0,0,600,0,0
Site_11,Chris Carstens pond,170821,-34.445,19.4573,River edge,perm,G40L,1392,165,6.1,610,0,0,no-fish,no-terapin,no-crab,1,213,0,0,0,0,0,0,0,0,0,0
Site_12,Willem Appel dam,170821,-34.4431,19.4538,Large dam,perm,G40L,13917,607,8,1100,1,0,fish,no-terapin,crab,3,0,12,0,0,0,0,0,30,0,0,3
Site_13,Kleinrivier King street,170821,-34.4368,19.4566,River edge,perm,G40L,1717,289,6.5,560,1,1,fish,no-terapin,no-crab,2,0,18,950,0,0,0,0,30,0,0,0
Site_14,Kleinriver bottom,171010,-34.4321,19.4582,River edge,perm,G40L,1339,160,8.4,2000,1,1,fish,no-terapin,no-crab,4,1,0,27,0,0,0,0,30,300,0,0
Site_15,Chris Burls Dam,170801,-34.4396,19.4771,Small dam,perm,G40L,1040,139,8.1,1510,1,0,fish,no-terapin,no-crab,4,43,0,0,0,3,0,0,9,3,0,0
Site_16,Gary Pelser Riverfront,170813,-34.429,19.4791,River edge,perm,G40L,4542,338,8.4,1450,1,1,fish,no-terapin,no-crab,3,0,0,7,0,2,0,0,0,130,0,0
Site_17,Hoekdam,170803,-34.4316,19.5027,Temp vlei,temp,G40L,1825,180,7.6,240,0,0,no-fish,no-terapin,no-crab,3,5,0,1247,0,294,0,0,0,0,0,0
Site_18,Andries sand dam,170708,-34.4417,19.5085,Large dam,temp,G40L,3429,920,6.8,190,0,0,no-fish,no-terapin,no-crab,5,0,1,8,0,24,0,0,0,92,0,1
Site_19,Arum lily vlei,170808,-34.4403,19.509,Temp vlei,temp,G40L,692,127,7.1,650,0,0,no-fish,no-terapin,no-crab,5,44,0,1029,0,93,2,0,0,0,0,2
Site_20,Modderrivier farmstead,170808,-34.4438,19.5164,Large dam,perm,G40L,3518,764,7.1,645,0,1,fish,no-terapin,no-crab,3,103,1,0,0,0,0,0,98,0,0,0
Site_21,Modderrivier rooidam,170814,-34.4474,19.5187,Large dam,perm,G40L,2435,194,6.9,430,0,0,no-fish,no-terapin,no-crab,6,3,1,2000,5,6,0,0,324,0,0,0
Site_22,Flip pump dam,170814,-34.4467,19.522,River edge,perm,G40L,2070,558,7.3,705,0,0,no-fish,no-terapin,crab,3,36,1,3,0,0,0,0,0,0,0,0
Site_23,Flip road dam,170814,-34.444,19.5246,Small dam,temp,G40L,823,113,7.3,705,0,0,no-fish,no-terapin,no-crab,4,27,1,10,0,2,0,0,0,0,0,0
Site_24,Chrisjan road dam,170803,-34.4439,19.5364,Large dam,perm,G40L,2500,267,6.5,390,0,0,no-fish,no-terapin,no-crab,4,109,1,11,0,1,0,0,0,0,0,0
